"","year","month","week","jday","date","zone","metric","tempC"
"243",2021,8,32,221,2021-08-09,"high","min",14.2
"244",2021,8,32,221,2021-08-09,"mid","mean",16.1986111111111
"245",2021,8,32,221,2021-08-09,"mid","max",17.7
"246",2021,8,32,221,2021-08-09,"mid","min",15
"247",2021,8,32,222,2021-08-10,"high","mean",16.6756944444444
"248",2021,8,32,222,2021-08-10,"high","max",23.4
"249",2021,8,32,222,2021-08-10,"high","min",14.4
"250",2021,8,32,222,2021-08-10,"mid","mean",15.7659722222222
"251",2021,8,32,222,2021-08-10,"mid","max",17.5
"252",2021,8,32,222,2021-08-10,"mid","min",14.7
"253",2021,8,32,223,2021-08-11,"high","mean",17.3986111111111
"254",2021,8,32,223,2021-08-11,"high","max",28.3
"255",2021,8,32,223,2021-08-11,"high","min",14.7
"256",2021,8,32,223,2021-08-11,"mid","mean",15.6590277777778
"257",2021,8,32,223,2021-08-11,"mid","max",20
"258",2021,8,32,223,2021-08-11,"mid","min",14.7
"259",2021,8,32,224,2021-08-12,"high","mean",17.3055555555556
"260",2021,8,32,224,2021-08-12,"high","max",24.6
"261",2021,8,32,224,2021-08-12,"high","min",15.2
"262",2021,8,32,224,2021-08-12,"mid","mean",16.2076388888889
"263",2021,8,32,224,2021-08-12,"mid","max",18.7
"264",2021,8,32,224,2021-08-12,"mid","min",15
"265",2021,8,33,225,2021-08-13,"high","mean",17.6569444444444
"266",2021,8,33,225,2021-08-13,"high","max",27.1
"267",2021,8,33,225,2021-08-13,"high","min",14.8
"268",2021,8,33,225,2021-08-13,"mid","mean",16.8111111111111
"269",2021,8,33,225,2021-08-13,"mid","max",18.9
"270",2021,8,33,225,2021-08-13,"mid","min",15.5
"271",2021,8,33,226,2021-08-14,"high","mean",17.3930555555556
"272",2021,8,33,226,2021-08-14,"high","max",26.7
"273",2021,8,33,226,2021-08-14,"high","min",14.6
"274",2021,8,33,226,2021-08-14,"mid","mean",16.8541666666667
"275",2021,8,33,226,2021-08-14,"mid","max",17.7
"276",2021,8,33,226,2021-08-14,"mid","min",16.3
"277",2021,8,33,227,2021-08-15,"high","mean",17.025
"278",2021,8,33,227,2021-08-15,"high","max",26.6
"279",2021,8,33,227,2021-08-15,"high","min",14.6
"280",2021,8,33,227,2021-08-15,"mid","mean",16.3923611111111
"281",2021,8,33,227,2021-08-15,"mid","max",17.4
"282",2021,8,33,227,2021-08-15,"mid","min",15.4
"283",2021,8,33,228,2021-08-16,"high","mean",16.0875
"284",2021,8,33,228,2021-08-16,"high","max",18.2
"285",2021,8,33,228,2021-08-16,"high","min",14.6
"286",2021,8,33,228,2021-08-16,"mid","mean",16.1451388888889
"287",2021,8,33,228,2021-08-16,"mid","max",16.9
"288",2021,8,33,228,2021-08-16,"mid","min",15.2
"289",2021,8,33,229,2021-08-17,"high","mean",15.6319444444444
"290",2021,8,33,229,2021-08-17,"high","max",18.1
"291",2021,8,33,229,2021-08-17,"high","min",13.2
"292",2021,8,33,229,2021-08-17,"mid","mean",15.7534722222222
"293",2021,8,33,229,2021-08-17,"mid","max",16.6
"294",2021,8,33,229,2021-08-17,"mid","min",14.2
"295",2021,8,33,230,2021-08-18,"high","mean",14.9236111111111
"296",2021,8,33,230,2021-08-18,"high","max",18.7
"297",2021,8,33,230,2021-08-18,"high","min",12.9
"298",2021,8,33,230,2021-08-18,"mid","mean",14.7979166666667
"299",2021,8,33,230,2021-08-18,"mid","max",16.8
"300",2021,8,33,230,2021-08-18,"mid","min",12.9
"301",2021,8,33,231,2021-08-19,"high","mean",14.9770833333333
"302",2021,8,33,231,2021-08-19,"high","max",19.3
"303",2021,8,33,231,2021-08-19,"high","min",13.2
"304",2021,8,33,231,2021-08-19,"mid","mean",14.5861111111111
"305",2021,8,33,231,2021-08-19,"mid","max",15.9
"306",2021,8,33,231,2021-08-19,"mid","min",13.5
"307",2021,8,34,232,2021-08-20,"high","mean",15.1395833333333
"308",2021,8,34,232,2021-08-20,"high","max",19
"309",2021,8,34,232,2021-08-20,"high","min",14.3
"310",2021,8,34,232,2021-08-20,"mid","mean",14.6368055555556
"311",2021,8,34,232,2021-08-20,"mid","max",15.6
"312",2021,8,34,232,2021-08-20,"mid","min",14.1
"313",2021,8,34,233,2021-08-21,"high","mean",14.8069444444444
"314",2021,8,34,233,2021-08-21,"high","max",17.5
"315",2021,8,34,233,2021-08-21,"high","min",14
"316",2021,8,34,233,2021-08-21,"mid","mean",14.4493055555556
"317",2021,8,34,233,2021-08-21,"mid","max",15.3
"318",2021,8,34,233,2021-08-21,"mid","min",13.8
"319",2021,8,34,234,2021-08-22,"high","mean",15.3597222222222
"320",2021,8,34,234,2021-08-22,"high","max",23.2
"321",2021,8,34,234,2021-08-22,"high","min",13.7
"322",2021,8,34,234,2021-08-22,"mid","mean",15.0277777777778
"323",2021,8,34,234,2021-08-22,"mid","max",16.6
"324",2021,8,34,234,2021-08-22,"mid","min",14.2
"325",2021,8,34,235,2021-08-23,"high","mean",15.9833333333333
"326",2021,8,34,235,2021-08-23,"high","max",23.5
"327",2021,8,34,235,2021-08-23,"high","min",14.2
"328",2021,8,34,235,2021-08-23,"mid","mean",15.4902777777778
"329",2021,8,34,235,2021-08-23,"mid","max",16.4
"330",2021,8,34,235,2021-08-23,"mid","min",14.6
"331",2021,8,34,236,2021-08-24,"high","mean",15.8034722222222
"332",2021,8,34,236,2021-08-24,"high","max",20.6
"333",2021,8,34,236,2021-08-24,"high","min",14.4
"334",2021,8,34,236,2021-08-24,"mid","mean",15.4486111111111
"335",2021,8,34,236,2021-08-24,"mid","max",16.1
"336",2021,8,34,236,2021-08-24,"mid","min",14.8
"337",2021,8,34,237,2021-08-25,"high","mean",16.0680555555556
"338",2021,8,34,237,2021-08-25,"high","max",18.5
"339",2021,8,34,237,2021-08-25,"high","min",14.4
"340",2021,8,34,237,2021-08-25,"mid","mean",15.8784722222222
"341",2021,8,34,237,2021-08-25,"mid","max",17.1
"342",2021,8,34,237,2021-08-25,"mid","min",15
"343",2021,8,34,238,2021-08-26,"high","mean",16.3145833333333
"344",2021,8,34,238,2021-08-26,"high","max",20.8
"345",2021,8,34,238,2021-08-26,"high","min",14.2
"346",2021,8,34,238,2021-08-26,"mid","mean",16.4020833333333
"347",2021,8,34,238,2021-08-26,"mid","max",17.1
"348",2021,8,34,238,2021-08-26,"mid","min",15
"349",2021,8,35,239,2021-08-27,"high","mean",16.7076388888889
"350",2021,8,35,239,2021-08-27,"high","max",22
"351",2021,8,35,239,2021-08-27,"high","min",13.7
"352",2021,8,35,239,2021-08-27,"mid","mean",16.7416666666667
"353",2021,8,35,239,2021-08-27,"mid","max",17.9
"354",2021,8,35,239,2021-08-27,"mid","min",16.2
"355",2021,8,35,240,2021-08-28,"high","mean",16.8784722222222
"356",2021,8,35,240,2021-08-28,"high","max",19.9
"357",2021,8,35,240,2021-08-28,"high","min",14.1
"358",2021,8,35,240,2021-08-28,"mid","mean",16.9944444444444
"359",2021,8,35,240,2021-08-28,"mid","max",17.8
"360",2021,8,35,240,2021-08-28,"mid","min",16.4
"361",2021,8,35,241,2021-08-29,"high","mean",16.7743055555556
"362",2021,8,35,241,2021-08-29,"high","max",18.6
"363",2021,8,35,241,2021-08-29,"high","min",14.7
"364",2021,8,35,241,2021-08-29,"mid","mean",17.0270833333333
"365",2021,8,35,241,2021-08-29,"mid","max",18.1
"366",2021,8,35,241,2021-08-29,"mid","min",16.6
"367",2021,8,35,242,2021-08-30,"high","mean",16.7375
"368",2021,8,35,242,2021-08-30,"high","max",18.6
"369",2021,8,35,242,2021-08-30,"high","min",14.9
"370",2021,8,35,242,2021-08-30,"mid","mean",17.1506944444444
"371",2021,8,35,242,2021-08-30,"mid","max",18
"372",2021,8,35,242,2021-08-30,"mid","min",16.8
"373",2021,8,35,243,2021-08-31,"high","mean",16.2145833333333
"374",2021,8,35,243,2021-08-31,"high","max",17.9
"375",2021,8,35,243,2021-08-31,"high","min",12
"376",2021,8,35,243,2021-08-31,"mid","mean",16.94375
"377",2021,8,35,243,2021-08-31,"mid","max",17.4
"378",2021,8,35,243,2021-08-31,"mid","min",15.9
"379",2021,9,35,244,2021-09-01,"high","mean",16.3277777777778
"380",2021,9,35,244,2021-09-01,"high","max",18.7
"381",2021,9,35,244,2021-09-01,"high","min",14
"382",2021,9,35,244,2021-09-01,"mid","mean",16.6541666666667
"383",2021,9,35,244,2021-09-01,"mid","max",17.7
"384",2021,9,35,244,2021-09-01,"mid","min",15.5
"385",2021,9,35,245,2021-09-02,"high","mean",16.3409722222222
"386",2021,9,35,245,2021-09-02,"high","max",20.2
"387",2021,9,35,245,2021-09-02,"high","min",13.5
"388",2021,9,35,245,2021-09-02,"mid","mean",16.6104166666667
"389",2021,9,35,245,2021-09-02,"mid","max",18.3
"390",2021,9,35,245,2021-09-02,"mid","min",14.6
"391",2021,9,36,246,2021-09-03,"high","mean",16.7708333333333
"392",2021,9,36,246,2021-09-03,"high","max",22.1
"393",2021,9,36,246,2021-09-03,"high","min",14.2
"394",2021,9,36,246,2021-09-03,"mid","mean",16.7715277777778
"395",2021,9,36,246,2021-09-03,"mid","max",18.6
"396",2021,9,36,246,2021-09-03,"mid","min",15
"397",2021,9,36,247,2021-09-04,"high","mean",17.9965277777778
"398",2021,9,36,247,2021-09-04,"high","max",30.7
"399",2021,9,36,247,2021-09-04,"high","min",13.7
"400",2021,9,36,247,2021-09-04,"mid","mean",17.1083333333333
"401",2021,9,36,247,2021-09-04,"mid","max",20
"402",2021,9,36,247,2021-09-04,"mid","min",14.8
