depth_m,serial,time,temp,file_i
-10.5,0419 6F00 263B 02,2024-05-03T17:35:17Z,16.1,2
-9.5,0431 8200 F135 0A,2024-05-03T16:14:44Z,NA,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:04Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:24Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:15:44Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:04Z,16,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:24Z,16,3
-9.5,0431 8200 F135 0A,2024-05-03T16:16:44Z,16.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:04Z,16.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:24Z,16.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:17:44Z,16.4,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:04Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:24Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:18:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:04Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:24Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:19:44Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:04Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:24Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:20:44Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:21:04Z,16.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:21:24Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:21:44Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:22:04Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:22:24Z,16.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:22:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:23:04Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:23:24Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:23:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:24:04Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:24:24Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:24:44Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:25:04Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:25:24Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:25:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:26:04Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:26:24Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:26:44Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:27:04Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:27:24Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:27:44Z,16.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:28:04Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:28:24Z,16.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:28:44Z,15.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:29:04Z,15.1,3
-9.5,0431 8200 F135 0A,2024-05-03T16:29:24Z,14.4,3
-9.5,0431 8200 F135 0A,2024-05-03T16:29:44Z,13.7,3
-9.5,0431 8200 F135 0A,2024-05-03T16:30:04Z,13.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:30:24Z,12.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:30:44Z,12.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:31:04Z,12.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:31:24Z,12,3
-9.5,0431 8200 F135 0A,2024-05-03T16:31:44Z,11.9,3
-9.5,0431 8200 F135 0A,2024-05-03T16:32:04Z,11.8,3
-9.5,0431 8200 F135 0A,2024-05-03T16:32:24Z,11.6,3
-9.5,0431 8200 F135 0A,2024-05-03T16:32:44Z,11.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:33:04Z,11.5,3
-9.5,0431 8200 F135 0A,2024-05-03T16:33:24Z,11.4,3
-9.5,0431 8200 F135 0A,2024-05-03T16:33:44Z,11.4,3
-9.5,0431 8200 F135 0A,2024-05-03T16:34:04Z,11.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:34:24Z,11.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:34:44Z,11.3,3
-9.5,0431 8200 F135 0A,2024-05-03T16:35:04Z,11.2,3
-9.5,0431 8200 F135 0A,2024-05-03T16:35:24Z,11.2,3
